Astrocyte,B cells,Endothelial cells,Fibroblasts,Macrophage,Microglia,Monocyte DC,Mural cells,Neuron,Neutrophil,NK,Oligodendrocytes,OPC,T cells,Naive T cells
Tssc4,,Eif4g2,,,Helz,Rasa2,,Ahcyl1,,,Emc4,Mxd4,Hist1h4d,
Smpd1,,Pink1,,,Tmem219,Ubxn2a,,Cep83,,,Scoc,Dot1l,Ascc3,
Ube2b,,Cab39,,,Cmas,Sdc4,,Crkl,,,Prpf19,Dnajc1,Commd7,
Zfp703,,Psmc6,,,Naa20,Gatad2a,,Ap2a2,,,Fam126a,Gdi1,Sart1,
Bbip1,,Serbp1,,,Zzz3,Xpr1,,Glcci1,,,Slc25a46,Thoc2,Hist1h1e,
Naa35,,Ilkap,,,0610010K14Rik,Psma3,,Dnajc7,,,Polr2j,Txlna,Cdc5l,
Mrpl34,,Tsen34,,,Cyth2,Ythdf3,,Wdr48,,,Fkbp8,Cdc123,Ten1,
Coq7,,Arl13b,,,Timm23,,,Tma7,,,Tbc1d16,Mapre1,Atg5,
Erh,,Psmc4,,,Os9,,,Ppm1d,,,Srp19,Fkbp3,Aarsd1,
Ivns1abp,,Ppp1r18,,,Pds5a,,,Gigyf1,,,Rad23a,Ndufab1,Mak16,
Tsc22d3,,Ddi2,,,Zc3h18,,,Tmem41b,,,Slc30a9,Senp2,Setx,
Tipin,,Setd5,,,Uhrf2,,,Psmd14,,,Terf2ip,Rbm25,Rbbp7,
Usp24,,Ssu72,,,Fam114a2,,,Ttr,,,Ube3a,Ythdc1,Gon4l,
Aldh6a1,,Ip6k1,,,Dazap1,,,Zmym2,,,Ebpl,mt-Nd4,Trappc5,
Hacd1,,Pxk,,,Rab12,,,Tnrc6b,,,Timm13,Tomm22,Eci1,
Tmx2,,Nudcd3,,,Cct8,,,Fam162a,,,Fkbp4,Anapc13,Hadhb,
Ktn1,,Nr3c1,,,Hist1h1e,,,Snx27,,,Clcn4,Emc7,Mphosph6,
Clcc1,,Naa20,,,Ankhd1,,,Mycbp2,,,Narf,Tmf1,Lonp2,
Zfp24,,Rybp,,,Ppp6r1,,,Ythdc1,,,Mrpl43,Cpeb4,Erg28,
Cttn,,Rbm7,,,Ptges3,,,Ppp2r1a,,,Pam16,Gtf2h5,Ppfia1,
Xpot,,Rc3h1,,,Sec11a,,,Trafd1,,,Ndufs1,Polr2i,Trappc6b,
Sgcb,,Trir,,,Phf14,,,Tnfaip1,,,Usp32,Chmp2b,Emsy,
Prag1,,Zscan26,,,Gapvd1,,,D5Ertd579e,,,Gcc2,Atf2,Slc25a36,
Gnptg,,Rsrp1,,,Zranb1,,,Slc25a17,,,Trim44,Golim4,Nrip1,
Slc35e4,,Anp32b,,,Dcun1d5,,,Tasor2,,,Rrp36,Eea1,Rpp25l,
Tmem176b,,Wapl,,,Kpnb1,,,Mecp2,,,Klf7,Epc2,Bet1l,
Mpp5,,Ankrd40,,,Zkscan3,,,Drg1,,,2410004B18Rik,Ostf1,Mrpl14,
Cpd,,Ep400,,,Scamp3,,,Snrnp27,,,Tprkb,Ep300,Gadd45gip1,
Ppp1cb,,Psma1,,,U2surp,,,Pdcl,,,Pcyox1,Pias1,Siva1,
Stk11,,Cep350,,,Keap1,,,Gkap1,,,Got2,Cyc1,Ogdh,
2300009A05Rik,,Cox6a1,,,Nipbl,,,Nudt19,,,Capns1,Prmt1,Rae1,
Tceal8,,Yme1l1,,,Mllt10,,,Hist1h4d,,,Psmb5,Rbm33,Cmas,
Kat6b,,Copb1,,,Wbp4,,,Nsd1,,,Acat1,Suco,Slc25a11,
Trip4,,Adrm1,,,Abhd16a,,,Pdrg1,,,Luc7l3,Snrpf,Paxbp1,
Rmdn1,,Srpk1,,,Hist1h2bc,,,Angel2,,,Baz2b,9930021J03Rik,Xaf1,
Mllt3,,Tor1aip1,,,Pcbp1,,,Mmadhc,,,Slc25a1,Arfgef1,Vti1b,
Mib1,,Hypk,,,Dusp11,,,Tssc4,,,Atxn2,Ddit4,Kin,
Arap2,,Smim7,,,Morf4l1,,,Brwd1,,,Cuta,Bach1,Utp3,
Cib1,,Vti1b,,,Med13,,,Hmgn3,,,Vps53,Cox5b,Aip,
Ercc6l2,,Csnk2a2,,,Eif3b,,,BC003965,,,Phyh,Hnrnpa1,Rnf167,
Tnrc18,,Jade2,,,9530068E07Rik,,,Ywhaz,,,Micu1,Prdx4,Camk2n1,
Cntrl,,Rabep1,,,Sh3gl1,,,Ube2e2,,,Taok1,Exoc5,Ubald1,
Suds3,,Mrps18c,,,Washc4,,,Hipk2,,,Znhit3,Btbd7,Mxi1,
Cacfd1,,Gorasp2,,,Nfat5,,,Zfp511,,,Map2k7,Fam76a,Cct6a,
2210016L21Rik,,Trappc5,,,Hsp90aa1,,,Spen,,,Erf,Xiap,Spty2d1,
Acox1,,Hadhb,,,Nrbf2,,,Cox5b,,,Ubl3,Samd4b,Ssna1,
Ndufaf4,,Vdac3,,,Ndfip2,,,Pcbp1,,,Maged1,Tspan31,Atf7ip,
Ppm1k,,Avl9,,,Rsbn1l,,,Hpf1,,,Tex264,Itch,Pam16,
Rrs1,,Bod1l,,,Rabl6,,,Fdft1,,,Cul5,Yaf2,Snrnp48,
Tnrc6b,,Fam174a,,,Ube2h,,,Ip6k1,,,Prkca,Ugt8a,G3bp2,
Psmd10,,Tbcb,,,Mgrn1,,,Mrpl15,,,Phc2,Smim15,Wac,
Ndufb10,,Bclaf1,,,Mpdu1,,,Bcor,,,Psmc3,Erp44,Jmy,
Snx14,,Mrps14,,,Mbd3,,,Brd1,,,Immt,Timm17a,Mphosph10,
Dtd2,,Dcun1d5,,,Phb2,,,Pfdn5,,,Polr2l,Ywhah,Numa1,
Coq9,,Numa1,,,Rab5if,,,Emsy,,,Ugp2,Lrp6,Tmpo,
Trmt1l,,Birc2,,,Scfd1,,,Sf3b1,,,Kcnk13,Eif3b,Upf3b,
Rab4a,,Sel1l,,,Atp6v0d1,,,R3hdm4,,,Med19,Tor1a,Pdrg1,
Tia1,,Cops6,,,Arfgap2,,,Med25,,,Psmc2,Ssbp4,Pdha1,
Smim11,,Med10,,,Tor1b,,,Exosc4,,,Taf11,Pgk1,Dhps,
Ech1,,Lamtor3,,,Ash1l,,,Idnk,,,Bmyc,9530068E07Rik,Dnajc21,
Pole3,,C1d,,,Pdcd6ip,,,Psmd12,,,Cdc123,Wls,Asxl2,
Tbca,,Napg,,,Pole4,,,Pja2,,,Atp2c1,Impact,Pqbp1,
Glg1,,Rbm8a,,,Purb,,,Swi5,,,Ddhd2,Tor1aip2,Yipf5,
Kmt2a,,Polr2k,,,Iws1,,,Ncor2,,,Ttc33,Baz1b,Prpf6,
Tex264,,Xrn1,,,Herc2,,,Ddx46,,,Uqcrc1,Alkbh5,Ppp1r11,
Hdac4,,Fyttd1,,,Gtf2a1,,,Txn2,,,Gosr1,Dph3,Itgb1,
Fbxo3,,Srp9,,,Dhx9,,,Map1lc3b,,,Lifr,Cpeb2,Itgav,
Fam126a,,Ube2v2,,,Emg1,,,Abt1,,,Mtch1,Vta1,,
Ubn2,,Txnl1,,,Gnb2,,,Puf60,,,Pik3r1,Zcchc7,,
Esyt2,,Rbm27,,,Bud31,,,Smc5,,,Dpf2,Mvb12b,,
Ccdc127,,Trip12,,,Copa,,,Hnrnpm,,,Spr,Sfswap,,
Rasa2,,Gnaq,,,Zfp292,,,Ndufb9,,,R3hdm1,Kat6a,,
Maoa,,Ndufb11,,,Abcf1,,,Cwc27,,,Cfdp1,Rps6kb1,,
Fam173a,,Thoc2,,,Elavl1,,,St8sia4,,,Exoc3,Ino80d,,
Hipk3,,Gars,,,Gripap1,,,Ssbp2,,,Jtb,Uba2,,
Cnot10,,Stau1,,,Usf2,,,Ppp4r3a,,,Ostm1,Cbx1,,
Nmt2,,Kdm6b,,,Eif5a,,,Oaz2,,,Epm2aip1,Phf20,,
Hspe1,,Ino80d,,,Nfx1,,,Rps25,,,Mff,Rtl8a,,
Anapc13,,Snrnp200,,,Poldip3,,,Fbrsl1,,,Cnep1r1,5-Mar,,
Kif1bp,,Nol7,,,Txlna,,,Mapre1,,,Synrg,Tbl1xr1,,
Mrpl41,,Pcna,,,Slc25a11,,,Eif3i,,,Tle3,Mrpl11,,
Ptprk,,Ppp6c,,,Vcp,,,Ppp2r2d,,,Mocs2,Dnm1l,,
Gsn,,Snapc5,,,Slc25a36,,,Smg6,,,Idh3a,Pigp,,
6-Mar,,Fam32a,,,Ubxn4,,,Mrpl21,,,Wasl,Cfl2,,
Pja2,,Rps6kb1,,,Chordc1,,,Mif,,,Borcs7,Ago2,,
Ndufa11,,Lbr,,,Lamtor3,,,Gon4l,,,Ryk,Lman1,,
Las1l,,Psmc1,,,Smg6,,,Hmgcr,,,Ccpg1,Commd4,,
Dap3,,Abi1,,,Rap1gds1,,,Tomm22,,,Gnpda2,Eif4e,,
Nacc2,,Tmx1,,,Ice1,,,Psma3,,,Chchd3,Dynlt3,,
Abca1,,Ctcf,,,Srrt,,,Pogk,,,Ctnnbip1,Upf3b,,
Lrrc8c,,Fbxo11,,,Ssb,,,Mpdu1,,,Ywhab,Lamtor3,,
Wbp1,,Wac,,,Abl1,,,Ubap2l,,,Psmc1,Rbm4b,,
H2afx,,Klhl9,,,Atp6v1h,,,Ube2w,,,Mrps36,Dram2,,
Gnl1,,Eloc,,,Cib1,,,Papss1,,,Snrpd2,Med30,,
Bod1,,Ccdc59,,,Psme2,,,Eps15l1,,,Glg1,Atp6v1a,,
Pam,,Sap18,,,Ipo5,,,Poldip2,,,Zmynd8,Pcdh9,,
Zfp422,,2610507B11Rik,,,Rsl24d1,,,Bloc1s2,,,Rwdd1,Slc50a1,,
Lmbrd1,,Egln2,,,Azi2,,,Trmt112,,,Dpm2,Vps26a,,
Rfk,,Arglu1,,,Galnt11,,,1110038F14Rik,,,Ndufb7,Tsc22d4,,
St3gal6,,Ddx42,,,Scamp1,,,Pmpcb,,,Aamp,Rbm27,,
Trappc6a,,Arpp19,,,Gtf2f1,,,Akap11,,,Ptbp2,Ythdf3,,
Pibf1,,Tle5,,,Prpf6,,,Arrdc3,,,Pik3c2a,Sgta,,
Hmgcs1,,Gapvd1,,,Bcl7b,,,Ube2m,,,Pgk1,Rbm39,,
Mfsd10,,Rabgap1,,,Ube2j2,,,Cox16,,,Eif1ax,Prpf40a,,
Notch1,,Ech1,,,Ilf3,,,Rbm17,,,Fkbp3,Alkbh1,,
Jade1,,Ubn1,,,Stk4,,,Eef1g,,,Eif1b,Mon2,,
Myo1e,,Eif4h,,,Eif2s2,,,Zc3h7b,,,Ubac1,Chic2,,
Zkscan3,,Nde1,,,Lamtor4,,,Oaz1,,,Cct6a,Ppp1cb,,
Mapre3,,Cops8,,,Copb2,,,Papola,,,Ppme1,Banf1,,
Gnas,,Dennd5a,,,Pgls,,,Smim7,,,Pikfyve,Lmo4,,
Mtpn,,Ube2b,,,Asxl2,,,Dnpep,,,Mphosph8,Med31,,
Ndufaf7,,Eny2,,,Mphosph10,,,Topors,,,Map4,Uqcrfs1,,
Prps2,,Dlgap4,,,Rbm17,,,Arl8a,,,Ift20,Akirin1,,
Pias2,,Smdt1,,,Tbl1x,,,Ccnt1,,,Ndufs2,Rab12,,
1810058I24Rik,,Tcf25,,,Rab5a,,,Gtpbp4,,,Ppm1a,Trim8,,
Gatd3a,,Pak2,,,Zfp638,,,Thumpd1,,,Cuedc2,Creb5,,
Lsm7,,Mbd3,,,Clptm1,,,Wac,,,Tsg101,Ggnbp2,,
mt-Atp8,,Mrpl53,,,Tmem11,,,Nol12,,,Tmbim4,Uqcrc1,,
Csad,,Cul3,,,Nfu1,,,Supt4a,,,Nudc,Taf11,,
Ilk,,Dync1i2,,,Cfl1,,,Sec11a,,,Ndufa8,Faf2,,
Nelfe,,Rad23b,,,Akirin2,,,Ssr2,,,Hsd17b11,Ccdc186,,
Mprip,,Slc38a2,,,Raly,,,Mrps36,,,Lsm5,Fnta,,
Dhrs3,,Ubr3,,,Ankrd11,,,Fchsd2,,,Ankra2,Rad23a,,
Igsf8,,2610001J05Rik,,,Tmem50a,,,Ccdc127,,,Clptm1,mt-Nd3,,
Trappc8,,Psmd3,,,Sdf4,,,Thyn1,,,2510009E07Rik,Guk1,,
Dnajc1,,Spen,,,Ctdnep1,,,Stx16,,,Dars,Ap2m1,,
Slc6a9,,Cycs,,,Ehmt1,,,Timm50,,,Yif1a,Rbbp7,,
Snta1,,Atp5b,,,Adrm1,,,Tnik,,,Ptges3,Tbrg1,,
Tubb2a,,Selenof,,,Znrd1,,,Myo9a,,,Gtf2h5,Lmbrd1,,
Hikeshi,,Brd3,,,Uba5,,,Nol11,,,Commd4,Tmcc1,,
Selenow,,Birc6,,,Mrps15,,,Ndufb11,,,Vps41,Hipk2,,
Tagln2,,Mgat2,,,Thoc1,,,U2af1l4,,,Gtf2i,Srpk1,,
Mrpl27,,Pam16,,,Nr1h2,,,Prpf38a,,,Uqcrq,Pafah1b2,,
Zcchc14,,Tmem248,,,Ino80d,,,Oga,,,Zfp266,Epc1,,
Clasp2,,Esco1,,,Taf15,,,Fem1b,,,Ublcp1,Dnmt3a,,
Mrpl21,,Dynlrb1,,,Leprot,,,Mea1,,,Atp5f1,Marcksl1,,
Mtch2,,Rc3h2,,,Faf2,,,C1d,,,Tbcb,Actr1a,,
Smc5,,Dram2,,,Snrpb,,,Maf1,,,Lamtor1,Emc10,,
Cep63,,Atp11b,,,Dnaja2,,,Bag4,,,Dpm3,Tmem208,,
Sar1b,,Mysm1,,,Dot1l,,,Foxj3,,,Mrps31,Dynlrb1,,
Tnfaip8,,Itpr2,,,Trappc6b,,,Tnpo3,,,Cacybp,Avl9,,
Tmem147,,Supt6,,,Sidt2,,,Atp5b,,,Pet100,Add1,,
Cat,,Uqcrc2,,,Ecpas,,,Stx12,,,Tmem134,Lsm3,,
Ankra2,,Rbm22,,,Eif4e,,,Llph,,,Hmgcl,Rbmx,,
Pisd,,Nap1l4,,,Acly,,,Chtop,,,Pmvk,Ccdc124,,
Hibadh,,Smarce1,,,Creb5,,,Eloc,,,Mettl26,Auts2,,
Usp34,,Ssna1,,,Hspd1,,,Rpl3,,,Hmbox1,Bhlhe41,,
Ebpl,,Nab1,,,Cbx4,,,Selenoi,,,Hikeshi,Acox1,,
Nceh1,,Pcmt1,,,Pik3ip1,,,Sf3a3,,,Acot13,Ilf2,,
Bmpr1a,,Cript,,,Cpne3,,,Pdcd2,,,Rbsn,Cnot6l,,
Ahsa1,,Eapp,,,Ppp5c,,,Isca2,,,Atraid,Klf7,,
Calcoco1,,Nrd1,,,Cnbp,,,Prpf40a,,,Fyn,Tcp1,,
Rprd1b,,Cdc37,,,Amfr,,,Gtf3c1,,,Commd3,Mysm1,,
Rnf14,,Zfand3,,,Cct3,,,Plxnb2,,,Stx6,Ppid,,
Gabarapl1,,Slc35b1,,,Por,,,Ubap2,,,Nipsnap3b,Kmt5b,,
Erlec1,,Crtc3,,,Txndc15,,,Cox5a,,,Scaf11,Akt1,,
Stoml2,,Chd1,,,Nemf,,,Psmd11,,,Cox14,Znrd1,,
Pold3,,Micos10,,,Zwint,,,Nae1,,,Med31,Cdkn1b,,
Rpa1,,Nap1l1,,,Mdm4,,,Ppp2r5e,,,Cdc42se2,Dmxl1,,
Ublcp1,,Supt16,,,Sar1b,,,Usp47,,,Prdx3,Stt3b,,
Smn1,,Tram1,,,Sltm,,,Mob4,,,Rnf168,Sppl2a,,
Vti1a,,Nedd8,,,Samm50,,,Rpf1,,,Wsb2,Ube2n,,
Mrpl17,,Maged1,,,Rbm5,,,Nabp2,,,Fxr2,Hras,,
Nipal3,,Ddx46,,,Zfand6,,,Hmgb1,,,Anapc16,Ube2v2,,
Mlh3,,Rnf146,,,Tmem14c,,,Slc4a7,,,Jade1,Asap1,,
Rsrp1,,Rtraf,,,Wdr1,,,Mvb12b,,,Ipo5,Tut4,,
Fkbp2,,Ufd1,,,Ell2,,,Snhg15,,,Ndufa2,Pdzd8,,
Churc1,,Pdcd6ip,,,Tmem222,,,Tmem237,,,Sdhc,Ddx3x,,
Fundc2,,Eif3e,,,Vps35,,,Trio,,,Myo1e,Wbp4,,
Mrpl42,,Ap2b1,,,Prmt1,,,Slc22a17,,,Slc49a4,Fam104a,,
Lypla2,,Sdf4,,,Ak2,,,Fbxo3,,,Ccs,Gmps,,
Atp5md,,Pnrc2,,,Thoc2,,,Gpbp1,,,Smim20,Dcaf8,,
Cyhr1,,Eif3b,,,Rab3gap1,,,Gripap1,,,Dnajc30,Lpin2,,
G6pc3,,Cdc73,,,Arfrp1,,,Wdr74,,,Arhgef2,Rcan2,,
Txndc15,,Dnajb11,,,Nudt9,,,Esd,,,Dtymk,Tecr,,
Atp5e,,Ntan1,,,Rab24,,,Ice1,,,Park7,Col4a3bp,,
Tm2d3,,Arhgef1,,,Ssbp1,,,Rrp1,,,1810058I24Rik,Fnip1,,
Idh3b,,Znrd1,,,Cwf19l2,,,Ap2b1,,,Sdha,Tbc1d14,,
Nsmce1,,Ube2m,,,Rabep1,,,Mrps18a,,,Gatd3a,Tsen34,,
Zmpste24,,Eif2s2,,,Dnajc21,,,Lcor,,,Psmd3,Fundc2,,
Ywhae,,Ube3a,,,Smarca5,,,Tspan3,,,Trip4,Emc1,,
Nop10,,Rbm6,,,Atp6v1d,,,Tmem70,,,Immp1l,Trim28,,
Tsnax,,Cbx5,,,Trp53bp2,,,Cpsf7,,,Naa38,Phip,,
2310022B05Rik,,Ppp2r1a,,,Sec13,,,Smim4,,,Lsm8,Naa20,,
Mrpl40,,Elf1,,,Puf60,,,Cox8a,,,Gpat4,Heca,,
Minpp1,,Iscu,,,Srp72,,,Hmg20a,,,Pip4k2c,Snrpn,,
Eps15,,Ube2k,,,Ep400,,,Tfdp2,,,Mrpl58,Map3k2,,
Ddb1,,Ago2,,,Flii,,,Ccng2,,,Psmd9,Lims1,,
Cbx6,,Rab2a,,,Ranbp1,,,Polr2e,,,Ten1,Glrx2,,
Spcs2,,Polr2l,,,Mrpl12,,,Ruvbl1,,,Csnk1a1,Rab11a,,
Stim1,,Ppp6r3,,,Denr,,,Magoh,,,Gmfb,Sirt7,,
Erlin2,,Stx4a,,,Yipf3,,,Atp5k,,,Elob,Gtf2a2,,
1110038F14Rik,,Chd6,,,Zfp644,,,Acadsb,,,Ubxn6,Gatad2a,,
Ndufs3,,Eif6,,,Nsrp1,,,Fbxo11,,,Uba1,Csnk1d,,
Gab1,,Vdac1,,,Rasa3,,,Ddhd2,,,Mettl9,Usp47,,
Ggh,,Ndfip2,,,Eif5b,,,Ndufab1,,,Mrps12,Ssrp1,,
Hnrnpa2b1,,Rbm42,,,Ran,,,Cenpb,,,Micu2,Ipo7,,
Cox4i1,,Huwe1,,,Gps1,,,Commd2,,,Pfdn1,Becn1,,
Tm9sf2,,Ddb1,,,Tm2d1,,,Tmem183a,,,Txnl4a,Adprh,,
Tsn,,Aldoa,,,Mrps18a,,,Memo1,,,Rabgap1,Hpf1,,
Xrn1,,Paip2,,,Snrpa1,,,Frg1,,,Jagn1,Cdk12,,
Trp53i13,,Pcif1,,,Arpc5l,,,Cbx6,,,Hadhb,Rora,,
Mif4gd,,Aff4,,,Ppid,,,Nfrkb,,,Faim,Rexo1,,
Mrpl22,,Ccnl2,,,Cisd2,,,Cript,,,Trappc5,Phf14,,
Dhx30,,Banf1,,,Vgll4,,,Mrpl42,,,Yipf4,Hsp90b1,,
Klhl7,,Atp13a3,,,Spag9,,,Lancl1,,,Pepd,Asxl2,,
Pkd1,,Rnf216,,,Numa1,,,Tuba1b,,,Mrps28,Slc25a36,,
Rbmx,,Lysmd3,,,Eea1,,,Ndfip1,,,Pno1,Rbm17,,
Ubr5,,Psmd2,,,Odr4,,,Ing3,,,Ppp1cb,Usp19,,
Sat1,,Copa,,,Tbc1d5,,,Synrg,,,Lage3,Cox16,,
Tasor,,Hnrnph3,,,Cct2,,,Dctn4,,,Htatsf1,Pet100,,
Pde6d,,Uqcr11,,,Sgce,,,Tmem60,,,Anapc13,Hipk1,,
Oip5os1,,Frmd4b,,,4933434E20Rik,,,Bmyc,,,Rmnd5a,Emc4,,
Tmx1,,Copb2,,,Alyref,,,Atp6v1g1,,,Fam192a,Eci2,,
Swt1,,Tbl1x,,,Plpbp,,,Ndufb10,,,Nap1l4,Lin7c,,
Rufy1,,Dld,,,Bmyc,,,Cry2,,,Smim11,2210016L21Rik,,
Glod4,,Rp9,,,Mapre2,,,Polr1c,,,Bola1,Ccny,,
Lmna,,Smox,,,Mrpl24,,,Cyp51,,,Rpn1,Snx2,,
Micu1,,Ppp3ca,,,Eif3d,,,Nudcd3,,,Got1,Ptprj,,
Ppid,,Sec31a,,,Mtfr1l,,,Paip2b,,,Ing4,Mtss1,,
Scp2,,Prrc2a,,,Lrpap1,,,Ubb,,,Ccdc32,Polr2m,,
Impact,,Ap2m1,,,Psmc2,,,Wdr61,,,Nme1,Fkbp5,,
Pfkl,,Luc7l,,,Rpn1,,,Mga,,,Mtln,Irs2,,
Ddah2,,Tmem87b,,,Eci2,,,Zc3h14,,,Akt1s1,Appl1,,
Atad1,,Tmed4,,,Cyc1,,,Supt20,,,Lztfl1,Mrpl18,,
Isca1,,Krcc1,,,Tomm20,,,Eef2,,,Polr2g,Cdip1,,
D5Ertd579e,,Knop1,,,Aph1a,,,Mrps30,,,Ppdpf,Ptpra,,
Pura,,Trip11,,,Nr1d2,,,Stard7,,,Gapdh,Wipf1,,
Ost4,,Anapc5,,,Cnih4,,,Anapc11,,,Psmd14,Ccpg1,,
Agpat3,,Nasp,,,Wdr83os,,,Lamtor5,,,Dhx36,Mettl23,,
Pik3ip1,,Tm9sf3,,,Kdelr1,,,Nbdy,,,Paip2,Cdc37l1,,
Coa6,,Tcf7l2,,,St13,,,Lsm1,,,Klhdc2,Tm2d1,,
Dcaf11,,Arhgef2,,,Ik,,,Mrpl9,,,Bsdc1,Ube2q1,,
Cabin1,,Ppm1g,,,Stub1,,,Bag1,,,Rgs3,Ptpn11,,
Lats1,,,,,G3bp2,,,Psmb1,,,Hadha,Glo1,,
Lars2,,,,,Gadd45b,,,Gtf3c6,,,Nubp2,Kpna1,,
Tfam,,,,,Tpi1,,,Gnai3,,,Ttc1,Ddx46,,
Dcxr,,,,,Eif6,,,Bptf,,,Atp6v1g1,Tef,,
Upf2,,,,,Ndufs8,,,Topbp1,,,Lars2,Cops2,,
Dcaf8,,,,,Immt,,,Csde1,,,Mospd2,Ccdc47,,
Ppp1r35,,,,,Cdc5l,,,Ndufa13,,,Coq2,Thoc1,,
Ext1,,,,,Tmco1,,,G3bp1,,,Lnpk,Nt5c,,
Emsy,,,,,Ptpa,,,Mrpl27,,,Psmd13,Usp14,,
Cebpzos,,,,,Tsen34,,,Mlf2,,,Mtx2,Ss18l2,,
Tardbp,,,,,Tmem208,,,Rbm33,,,Cops9,Selenow,,
Mrps17,,,,,Ggh,,,Polr2h,,,Mrps25,Krit1,,
Slc25a39,,,,,Zc3h15,,,Zfp330,,,Ikzf5,Clock,,
Chmp2b,,,,,Egln2,,,Cnot2,,,Ciao2b,Dnajb4,,
2210016F16Rik,,,,,Srpk1,,,Cnot3,,,Gps1,Ncor2,,
Tuba1b,,,,,Mrpl17,,,Timm13,,,Cryzl1,Med28,,
Pcmtd2,,,,,Pa2g4,,,Zfpl1,,,Rnf187,Nipa2,,
Krcc1,,,,,Chrac1,,,Yme1l1,,,Psma6,Arpc1a,,
Chchd1,,,,,Ssr2,,,Flywch1,,,Mtmr6,Mga,,
Cfdp1,,,,,Cct4,,,Tiprl,,,Creb3l2,Pds5a,,
Arhgap35,,,,,Ostc,,,Srp19,,,Lrpap1,Prrc2b,,
Wwc2,,,,,BC005561,,,9930021J03Rik,,,Psmc5,Dctn4,,
Mrpl33,,,,,Nudcd3,,,Peli1,,,Ndufa12,Ppp6r3,,
Lpp,,,,,Ccdc12,,,Braf,,,Pitpnb,Cdk4,,
Myg1,,,,,Igbp1,,,Pwwp2a,,,Snapc5,Med8,,
Ankrd40,,,,,Atxn2,,,Hook3,,,Scamp1,Setd5,,
Dhx36,,,,,Golga4,,,Polr2b,,,Brcc3,Zswim6,,
Taf1,,,,,Mcrip1,,,Snrnp48,,,9930021J03Rik,Rsl24d1,,
Cox6b1,,,,,Myo9a,,,Xpr1,,,Insr,Clcn4,,
Rogdi,,,,,Hpf1,,,Bace1,,,Vti1b,Atad1,,
Pcmtd1,,,,,Ghitm,,,Kdm5a,,,Txndc15,Ccdc85b,,
Mpnd,,,,,Tasor,,,Mrps14,,,Cops6,Cd47,,
Cbx3,,,,,Aamp,,,mt-Atp6,,,Pnn,Ube2v1,,
Scap,,,,,Ten1,,,Btbd7,,,Brd3,Serp1,,
Brd8,,,,,Cox16,,,Vamp2,,,Ltn1,Mapt,,
Mrps33,,,,,Atp6v1a,,,Safb,,,Sf3b5,Pik3ip1,,
Gabbr1,,,,,Prkcsh,,,Spag7,,,Clns1a,Tnpo3,,
Pfdn1,,,,,Erlec1,,,Dync1li1,,,Pphln1,B230219D22Rik,,
Snhg3,,,,,Ebp,,,Uba5,,,Mrpl51,Prnp,,
Synj1,,,,,Lamtor1,,,Ift43,,,Cbll1,Tmem223,,
Mrpl11,,,,,Cnpy2,,,Ndufa8,,,Trmt6,4932438A13Rik,,
Naxe,,,,,Trmt112,,,Foxn3,,,Cycs,Pxk,,
Rfc2,,,,,Sh3bp5,,,Srsf4,,,Tnrc6a,Ckap5,,
Bloc1s1,,,,,Lsm6,,,Zfp1,,,C330007P06Rik,Stx12,,
9530068E07Rik,,,,,Fam173a,,,Clasp2,,,Rab7,Npepps,,
Pdzd11,,,,,Anapc16,,,Wls,,,Stard7,Timm8b,,
Tmem179b,,,,,Lcorl,,,Tomm7,,,Rnf10,Wdr45b,,
Echs1,,,,,Eif3c,,,Lyrm2,,,Nhlrc2,Ctbp1,,
Gabarapl2,,,,,Psenen,,,Usp34,,,Akap9,Flot1,,
Ttf1,,,,,Vps29,,,Dcun1d5,,,Tsen34,Calm1,,
Atic,,,,,Atp2c1,,,Ubtf,,,Orc6,Cop1,,
Ddx41,,,,,Itgav,,,Ncbp2,,,Dnajc3,Zc3h7a,,
Immp1l,,,,,Hspe1,,,Zer1,,,Hdgf,Klhl2,,
Mrpl48,,,,,Brk1,,,Mrpl23,,,U2af1l4,Gkap1,,
Dtymk,,,,,,,,Snu13,,,Lysmd3,Cd2ap,,
Ncbp2,,,,,,,,Ctr9,,,Map4k4,Ankrd17,,
Ttc4,,,,,,,,Ccnl2,,,Mrpl30,Il6st,,
Coq5,,,,,,,,Gnb2,,,Sdhaf1,Map7d2,,
Stk25,,,,,,,,Cox6c,,,Wnk1,Arih1,,
Eif1ax,,,,,,,,Tgs1,,,Erlec1,Mrps14,,
Tmem106b,,,,,,,,Utp3,,,Phc3,Mid1ip1,,
Arl6ip1,,,,,,,,Pqbp1,,,Emc2,Mdm2,,
Usp37,,,,,,,,Synj2bp,,,Spast,Fermt2,,
Trnau1ap,,,,,,,,Tnpo1,,,Sra1,Scfd1,,
Polr2m,,,,,,,,Ndufs3,,,Lbr,Sf3b3,,
Tomm40,,,,,,,,Exoc3,,,St13,Pbx1,,
Arl2bp,,,,,,,,Nr2c2,,,Tasor,Bzw2,,
Cdk4,,,,,,,,Nckap1,,,Vamp3,Eif1a,,
Dmwd,,,,,,,,Nob1,,,Tfeb,Fam171b,,
Ndufs4,,,,,,,,Rabggtb,,,Phb,Pea15a,,
Zeb1,,,,,,,,Nup88,,,Mrps17,Clip3,,
Ccdc47,,,,,,,,Snrnp200,,,Mdh1,Celf1,,
Polr2k,,,,,,,,Psme1,,,Rpp25l,Clasp2,,
Acadsb,,,,,,,,Ndufs5,,,Wbp1l,Ciao2a,,
