Astrocyte,B cells,Endothelial cells,Fibroblasts,Macrophage,Microglia,Monocyte DC,Mural cells,Neuron,Neutrophil,NK,Oligodendrocytes,OPC,T cells,Naive T cells
Ccdc113,H2-Eb1,Apcdd1,Lmo4,Sec61g,Havcr2,Rps27,Ppp1r12b,Tubb2a,Pygl,Cma1,Lgi3,Olig2,Rpl23,Dusp10
Fads2,Rpl22,Sparcl1,Rpl41,Plbd1,Ctsa,Rpl38,Pten,Tagln3,Rab11fip1,Rpl27a,Gnao1,Susd4,Rpl22,Gimap3
Ccdc39,Pafah1b3,Slc7a5,Gpx8,Arpc1b,Plek,Rps29,Actn4,Gm13889,Tnfaip3,Nr4a2,Dixdc1,Kcnd2,Gmfg,Cytip
3300002A11Rik,Rps23,Gata2,Mtpn,Ifi30,Mpeg1,Rps6,Epas1,Pou3f2,Txnip,Cd52,Etv1,Gria3,Rpl30,Lat
Gas6,Cd69,Kdr,Cpe,Mcl1,Pmepa1,Rpl15,Map3k20,Cdca7,Cdk2ap2,Klrb1f,Selenom,Plpp3,Ets1,Cd3e
Dnah6,Gm30211,Sox17,Ppic,Blvrb,Ccl12,Rpl27a,Ace2,Gng2,Dedd2,Rps5,Sec11c,Tceal3,Cytip,Gm10076
1700001C02Rik,Rpl41,Cd59a,Cald1,Sdcbp,Abhd12,Rpl18a,Foxc1,Lrp8,N4bp1,Rpl17,Sgk1,Rev3l,Gm10076,Rpl4
S100b,Tpt1,Ifitm3,Ecrg4,Ms4a6b,Otud1,Rpl13,Limd1,Shtn1,Tpd52,Rps21,Bcas1,Kcnip3,Rack1,Eef1a1
Sntn,Tmsb10,Tpm4,Col4a2,Msrb1,Smap2,Syngr2,Tbx2,Fnbp1l,Pik3ap1,Rpl37,Ptn,Pcdh17,Cd6,Sell
Cetn2,Rpl13a,Grasp,Il6st,Rnh1,Il6ra,Clec10a,Kcne4,Crmp1,Nfkbia,H2-Q6,Agpat4,Marcks,Fau,Itk
Arhgdig,Bank1,Slc1a1,Foxp1,Napsa,Irf8,Rps8,Cobll1,Uchl1,Antxr2,Qrfp,Ckb,Sez6l,Gramd3,H2-Q7
Mgst1,Ets1,Cd34,Tm4sf1,Emb,Mef2a,Rps3a1,Cavin1,Pantr1,Slfn1,Fxyd5,Mapk8ip1,C1ql2,Rps23,Dapl1
Mns1,Rpl38,Plxna2,Lrg1,Ccr2,Rrbp1,Mcemp1,Rasl11a,Marcksl1,Btg1,Fasl,Tulp4,Neto1,Rpl24,Stk17b
Fgfr1,Pkig,Ablim1,Ctla2a,S100a10,Marcks,Uba52,Slc6a20a,Mllt11,Tnfrsf1b,Ifng,Plekhb1,Tub,Rpl11,Rps15
Rmst,Rpl29,Prom1,Gm42418,AB124611,Apbb1ip,Rpl6,Tbx18,Hmgn1,Il1f9,Rpl13a,Ywhaq,Pcsk2,Rps19,Rapgef6
Pifo,Fam107b,Arhgap29,Eef1g,Rap2b,Maf,Rpl12,Arhgap42,Nedd4,Arrdc4,Rpl11,Ppp2r3a,Rap1gap,Dnajc15,Rpl10
Drc3,Satb1,Clic4,Ahcyl2,Cd68,Pmp22,Rpl9,Dlc1,H1f0,Pirb,Jak1,Dpysl2,Grid2,Rpl9,Arhgap15
Ckb,Rps12,Cgnl1,Vwf,Atp2b1,Efhd2,Rpl10a,Myadm,Bex3,Irak2,Rpl10,Slc6a1,Agpat5,Rpl37,Rps25
Dnah12,Blk,Synm,F3,Rpl10,Pde3b,Rpl8,Pla1a,Ptov1,Ncf2,Rps4x,Ndrg1,Isoc1,Rps3,Npm1
Pdlim4,Rpl10,Lef1,Nbl1,Laptm5,Otulinl,Tpt1,Lgalsl,Elavl3,Dennd4a,Ahnak,8-Sep,Frrs1l,Gimap1,Ptpn18
1700016K19Rik,Rplp2,Fnbp1l,Ifitm2,Adam8,Anxa3,Gm10076,Lin7a,Cdk4,Arg2,Rpsa,Tsc22d4,Atp1b2,Rpl13,Rpl23a
Dmd,Lrmp,Ece1,Fgfr1,Cd74,Dleu2,Rpl11,Cd248,Tia1,Gmfg,Rplp2,Secisbp2l,Nova1,Rplp2,Rps12
Msi2,Ralgps2,Luzp1,Rbbp7,H2-D1,Adap2,Eef1b2,Cebpd,Tshz1,Stk17b,Itga4,Plcl1,Olig1,Rps20,Zc3hav1
Sorbs1,Rpl36a,Slc30a1,Lrrc58,Cyp4f18,Ctsh,Gm6377,Lamb2,Ptms,Mcl1,Bhlhe40,Itpk1,Arxes2,Rps21,Naca
