,0
993,Vmn2r2
994,Kcnab1
995,A330015K06Rik
996,Ptx3
997,Iqcj
998,Il12a
999,Gm1647
1000,Gm20754
1001,4930509J09Rik
1002,Zbbx
1003,Serpini2
1004,Wdr49
1005,Serpini1
1006,Gm36569
1007,Gria2
1008,Gucy1b1
1009,Gucy1a1
1010,Fga
1011,Dchs2
1012,Sfrp2
1013,Tmem154
1014,Glt28d2
1015,Sh3d19
1016,Dclk2
1017,Kirrel
1018,Fcrl1
1019,Fcrl5
1020,Sh2d2a
1021,Crabp2
1022,Nes
1023,Bcan
1024,AW047730
1025,Gm3764
1026,Bglap2
1027,Bglap
1028,Rab25
1029,Mtx1
1030,Gm15998
1031,Efna4
1032,Dcst1
1033,Gm42809
1034,Gm16540
1035,Cfap141
1036,Nup210l
1037,S100a14
1038,S100a2
1039,S100a4
1040,S100a5
1041,S100a6
1042,S100a7a
1043,S100a8
1044,S100a9
1045,Crct1
1046,S100a11
1047,S100a10
1048,Mrpl9
1049,Riiad1
1050,Cgn
1051,Ctss
1052,Hormad1
1053,Gm56781
1054,Gm26594
1055,C920021L13Rik
1056,Gm9054
1057,H3c15
1058,Gm10685
1059,Ankrd34a
1060,Fmo5
1061,Hmgcs2
1062,Zfp697
1063,Tbx15
1064,Spag17
1065,Gm12474
1066,Gm42868
1067,Cd101
1068,Cd2
1069,Gm42938
1070,Slc22a15
1071,Nhlh2
1072,Bcl2l15
1073,Ptpn22
1074,Magi3
1075,Rhoc
1076,Kcnd3
1077,Chil5
1078,Chil3
1079,Gm35507
1080,Kcnc4
1081,Csf1
1082,Gstm1
1083,Gm12524
1084,1700010K24Rik
1085,Elapor1
1086,Vav3
1087,Ntng1
1088,C130013H08Rik
1089,Col11a1
1090,Olfm3
1091,S1pr1
1092,Vcam1
1093,Gm26544
1094,Gpr88
1095,Trmt13
1096,Palmd
1097,Plppr4
1098,Gm26871
1099,Dpyd
1100,6530403H02Rik
1101,Gm43608
1102,F3
1103,Arhgap29
1104,Bcar3
1105,Gm43568
1106,Pde5a
1107,Usp53
1108,Myoz2
1109,Synpo2
1110,Ndst3
1111,Arsj
1112,Neurog2
1113,Alpk1
1114,Enpep
1115,Col25a1
1116,Etnppl
1117,Lef1
1118,Sgms2
1119,Dkk2
1120,Arhgef38
1121,Gm31243
1122,Bank1
1123,Emcn
1124,Ddit4l
1125,Gm43403
1126,Gm40155
1127,Dapp1
1128,Gm43049
1129,Unc5c
1130,Gm15689
1131,Bmpr1b
1132,Pdlim5
1133,Gbp5
1134,4930519L02Rik
1135,Gm6260
1136,Gm34078
1137,Gm34866
1138,Clca4a
1139,Ccn1
1140,Gm17501
1141,Ddah1
1142,Ctbs
1143,Uox
1144,Samd13
1145,Adgrl2
1146,Gm30382
1147,Gm5149
1148,Adgrl4
1149,Nexn
1150,Ak5
1151,St6galnac5
1152,Slc44a5
1153,Tnni3k
1154,Negr1
1155,4930592C13Rik
1156,Ptger3
1157,Lrrc7
1158,Rpe65
1159,2210414B05Rik
1160,Penk
1161,4930430E12Rik
1162,Tox
1163,Car8
1164,Gm57098
1165,Gm11817
1166,1700123O12Rik
1167,Gm11827
1168,Trp53inp1
1169,Runx1t1
1170,Slc26a7
1171,Necab1
1172,Calb1
1173,Mmp16
1174,Gm11867
1175,Cngb3
1176,Atp6v0d2
1177,Nkain3
1178,Gm11884
1179,Fut9
1180,Epha7
1181,Bach2
1182,Cga
1183,Lingo2
1184,Gm12371
1185,4930509K18Rik
1186,Gm57125
1187,1110017D15Rik
1188,Gm12405
1189,Gm20878
1190,Ccl19-ps2
1191,4930578G10Rik
1192,Gm12395
1193,Ccl19
1194,Gm12394
1195,Phf24
1196,Unc13b
1197,Gm46851
1198,Cd72
1199,Tpm2
1200,Msmp
1201,Hrct1
1202,Spaar
1203,Pax5
1204,Frmpd1
1205,Igfbpl1
1206,Stra6l
1207,Ccdc180
1208,Gm12446
1209,Hemgn
1210,Tbc1d2
1211,Gm57102
1212,Gabbr2
1213,Nr4a3
1214,Tmeff1
1215,Grin3a
1216,2310081O03Rik
1217,Actl7a
1218,Ctnnal1
1219,Pakap-1
1220,Musk
1221,Shoc1
1222,Slc31a2
1223,Orm1
1224,Tnfsf8
1225,Tnc
1226,Pappa
1227,Astn2
1228,Tlr4
1229,Brinp1
1230,Gm42303
1231,Nfib
1232,Gm11184
1233,Bnc2
1234,Saxo1
1235,Plin2
1236,Acer2
1237,Ifnb1
1238,4930553M12Rik
1239,Tek
1240,Gm12694
1241,Gm12703
1242,Junos
1243,Gm12708
1244,Gm12695
1245,L1td1
1246,Alg6
1247,Ror1
1248,Ak4
1249,Dab1
1250,Fyb2
1251,Plpp3
1252,Fam151a
1253,Orc1
1254,8030443G20Rik
1255,Calr4
1256,Agbl4
1257,Skint3
1258,Skint6
1259,Trabd2b
1260,9130410C08Rik
1261,Foxd2
1262,Cyp4b1
1263,Dmbx1
1264,Gpbp1l1
1265,C530005A16Rik
1266,Hpdl
1267,Zswim5
1268,Ptch2
1269,Btbd19
1270,Dynlt4
1271,Gm12843
1272,Gm12840
1273,Gm12841
1274,Mpl
1275,Tie1
1276,Or10ak7
1277,Gm12865
1278,Gm12862
1279,Slc2a1
1280,Gm12868
1281,Ermap
1282,Foxo6os
1283,Mfsd2a
1284,Heyl
1285,1700121C08Rik
1286,Pou3f1
1287,Epha10
1288,Cdca8
1289,Gm32611
1290,Csf3r
1291,Gja4
1292,Gjb3
1293,Hmgb4
1294,Gm57066
1295,Hpca
1296,C77080
1297,Gm57067
1298,E330017L17Rik
1299,Tinagl1
1300,Fabp3
1301,Gm12992
1302,Gm28874
1303,Ptafr
1304,Smpdl3b
1305,Themis2
1306,Fgr
1307,Gm12977
1308,Zfp683
1309,Cd52
1310,Fam110d
1311,Selenon
1312,Rhd
1313,Ifnlr1
1314,Gm57106
1315,Cnr2
1316,Id3
1317,Asap3
1318,Lactbl1
1319,C1qb
1320,C1qc
1321,C1qa
1322,Hspg2
1323,Alpl
1324,Ece1
1325,1700095J12Rik
1326,Gm57090
1327,Cda
1328,AB041806
1329,Mul1
1330,Pla2g2d
1331,Pla2g5
1332,Nbl1
1333,4933427I22Rik
1334,Gm13016
1335,Padi4
1336,Padi1
1337,4930515B02Rik
1338,Sdhb
1339,Gm57138
1340,Clcnka
1341,Srarp
1342,Kazn
1343,Pdpn
1344,Tnfrsf8
1345,Platr16
1346,Fv1
1347,Clcn6
1348,Gm13201
1349,Draxin
1350,Gm17029
1351,Rbp7
1352,Gm13066
1353,Rere
1354,Tnfrsf9
1355,Camta1
1356,Tas1r1
1357,Megf6
1358,Arhgef16
1359,Gm57086
1360,Hes5
1361,Gabrd
1362,Vwa1
1363,Tnfrsf4
1364,Tnfrsf18
1365,Isg15
1366,Samd11
1367,Fzd1
1368,Pttg1ip2
1369,Cfap69
1370,Steap1
1371,Zfp804b
1372,Gm30835
1373,Steap4
1374,Abcb1a
1375,Abcb1b
1376,Grm3
1377,Sema3d
1378,Sema3a
1379,Sema3e
1380,Gm9758
1381,Speer4e
1382,Gm10354
1383,Gm21149
1384,Gm21190
1385,Speer4d
1386,Cacna2d1
1387,Hgf
1388,Sema3c
1389,Cd36
1390,Gsap
1391,Ccdc146
1392,Fgl2
1393,Reln
1394,Lhfpl3
1395,4933427G23Rik
1396,Gm57318
1397,Nos3
1398,2310074N15Rik
1399,Gm43972
1400,Actr3b
1401,Dpp6
1402,Il6
1403,Drc1
1404,Cib4
1405,Gm9899
1406,Slc30a3
1407,Rbks
1408,Fgfr3
1409,Cfap99
1410,Rgs12
1411,Sorcs2
1412,Evc
1413,Cytl1
1414,Clnk
1415,Gm42711
1416,Gm57285
1417,Gm7854
1418,Gm43020
1419,C1qtnf7
1420,Cd38
1421,Fgfbp1
1422,Prom1
1423,Gm42716
1424,Ldb2
1425,Gm3364
1426,Clrn2
1427,Slit2
1428,Kcnip4
1429,Ppargc1a
1430,9230114K14Rik
1431,Sod3
1432,Pcdh7
1433,Dthd1
1434,Nwd2
1435,Fam114a1
1436,Tmem156
1437,Gm42726
1438,Rhoh
1439,Chrna9
1440,9130230L23Rik
1441,Gm26725
1442,Nsun7
1443,Uchl1
1444,Gm42670
1445,Gm26756
1446,4930425K10Rik
1447,Gm5108
1448,Kctd8
1449,Gabrg1
1450,Gabra2
1451,Gabra4
1452,Gabrb1
1453,Gm38562
1454,Atp10d
1455,Txk
1456,Dcun1d4
1457,Usp46os2
1458,Gm19583
1459,Pdgfra
1460,Gm42800
1461,Kit
1462,Kdr
1463,Gm32727
1464,Cracd
1465,Hopxos
1466,Igfbp7
1467,Gm34648
1468,Adgrl3
1469,Gm57310
1470,Gm16054
1471,Tecrl
1472,Epha5
1473,Stap1
1474,Tmprss11d
1475,Jchain
1476,Slc4a4
1477,Afm
1478,Cxcl5
1479,Ppbp
1480,Pf4
1481,Cxcl3
1482,Cxcl1
1483,Cxcl2
1484,Ereg
1485,Areg
1486,Cxcl9
1487,Art3
1488,Cxcl10
1489,Fam47e
1490,Shroom3
1491,2010109A12Rik
1492,Cxcl13
1493,Gm8013
1494,Antxr2
1495,Cfap299
1496,Prkg2
1497,Tmem150c
1498,Plac8
1499,Hpse
1500,Gpat3
1501,Nkx6-1
1502,Arhgap24
1503,Mapk10
1504,4930429D17Rik
1505,Ptpn13
1506,Sparcl1
1507,Dmp1
1508,Ibsp
1509,Spp1
1510,Abcg3
1511,Gbp6
1512,Lrrc8c
1513,Hfm1
1514,A930041C12Rik
1515,Gm26692
1516,Gfi1
1517,Gm42518
1518,Gm42517
1519,Cplx1
1520,5930411N13Rik
1521,Gm57262
1522,Sez6l
1523,Grk3
1524,Gm42161
1525,Dao
1526,4930519G04Rik
1527,Oasl2
1528,Gm13822
1529,Oasl1
1530,Cabp1
1531,Gm13832
1532,Gm13840
1533,Gm13842
1534,B230112J18Rik
1535,Srrm4
1536,Gm57263
1537,Vsig10
1538,Nos1
1539,Tbx3os1
1540,Gm57296
1541,Lhx5
1542,Gm57311
1543,Oas2
1544,Acad12
1545,Gm57307
1546,Hvcn1
1547,P2rx7
1548,P2rx4
1549,Kdm2b
1550,Rhof
1551,Wdr66
1552,Hcar2
1553,Hcar1
1554,Hip1r
1555,Vps37b
1556,Gm43661
1557,Pitpnm2os2
1558,Pitpnm2os1
1559,Gm42839
1560,Gm32585
1561,Tmem132c
1562,Glt1d1
1563,Rimbp2
1564,Adgrd1
1565,Gm15903
1566,Asl
1567,Caln1
1568,Galnt17
1569,Gm29681
1570,Auts2
1571,Ncf1
1572,Eln
1573,Ccl24
1574,Hspb1
1575,Ssc4d
1576,Orai2
1577,Vgf
1578,Serpine1
1579,Muc3
1580,Gm31160
1581,Gm57304
1582,Gm42456
1583,Zan
1584,Pilra
1585,Pilrb1
1586,Gm36551
1587,Pilrb2
1588,Gm57266
1589,Taf6
1590,Fam20c
1591,C130050O18Rik
1592,Gper1
1593,4930500L23Rik
1594,Elfn1
1595,Card11
1596,Sdk1
1597,Gm57287
1598,Papolb
1599,Mmd2
1600,Tmem130
1601,Rasl11a
1602,Flt1
1603,Gm15721
1604,Mtus2
1605,2210417A02Rik
1606,Alox5ap
1607,Gm43150
1608,Gm15997
1609,Hsph1
1610,Fry
1611,Kl
1612,Gm20559
1613,Samd9l
1614,Gm33576
1615,Col1a2
1616,Asb4
1617,Dync1i1
1618,Gm20617
1619,Dlx6os1
1620,Gm16043
1621,Nxph1
1622,Gm35822
1623,Foxp2
1624,Gm4876
1625,Cav1
1626,Met
1627,Gm15592
1628,Gm20186
1629,Ankrd7
1630,Kcnd2
1631,Gm3289
1632,Cped1
1633,Wnt16
1634,Ptprz1
1635,Iqub
1636,Gm20756
1637,Grm8
1638,Hilpda
1639,Garin1a
1640,Flnc
1641,Nrf1
1642,Cpa5
1643,4930412F09Rik
1644,Gm13844
1645,Podxl
1646,Gm43154
1647,Plxna4
1648,Gm14540
1649,Cald1
1650,Gm13861
1651,Agbl3
1652,Fam180a
